Time,CoPx,CoPy
0.357,0.003112,0.089903
0.358,0.003136,0.089915
0.359,0.003161,0.089921
0.36,0.003137,0.089934
0.361,0.003112,0.089903
0.362,0.003089,0.089934
0.363,0.003137,0.089934
0.364,0.003113,0.089922
0.365,0.003137,0.089934
0.366,0.003089,0.089934
0.367,0.003112,0.089903
0.368,0.003113,0.089946
0.369,0.003113,0.089964
0.37,0.003112,0.089903
0.371,0.003089,0.089934
0.372,0.003089,0.089934
0.373,0.003041,0.089977
0.374,0.003089,0.089934
0.375,0.003089,0.089891
0.376,0.003065,0.089921
0.377,0.003089,0.089995
0.378,0.003065,0.090007
0.379,0.003089,0.089977
0.38,0.003089,0.090038
0.381,0.003041,0.089995
0.382,0.003089,0.089995
0.383,0.003065,0.090007
0.384,0.003041,0.089977
0.385,0.003017,0.090007
0.386,0.003065,0.090007
0.387,0.003041,0.089977
0.388,0.003065,0.090007
0.389,0.003017,0.09005
0.39,0.003017,0.09005
0.391,0.003065,0.09005
0.392,0.002993,0.090019
0.393,0.003017,0.09005
0.394,0.002993,0.090081
0.395,0.002993,0.090081
0.396,0.00297,0.090068
0.397,0.002993,0.090081
0.398,0.003041,0.090062
0.399,0.002993,0.090081
0.4,0.00297,0.090068
0.401,0.00297,0.090068
0.402,0.002969,0.090093
0.403,0.002969,0.090093
0.404,0.003018,0.090111
0.405,0.00297,0.09013
0.406,0.00297,0.090154
0.407,0.00297,0.090154
0.408,0.002994,0.090142
0.409,0.002993,0.090166
0.41,0.002993,0.090166
0.411,0.00297,0.090172
0.412,0.002994,0.090185
0.413,0.002945,0.090167
0.414,0.00297,0.090215
0.415,0.00297,0.090154
0.416,0.00297,0.090172
0.417,0.002995,0.090203
0.418,0.002946,0.090203
0.419,0.002947,0.090246
0.42,0.00297,0.090215
0.421,0.00297,0.090215
0.422,0.00297,0.090215
0.423,0.002947,0.090246
0.424,0.002995,0.090203
0.425,0.002971,0.090191
0.426,0.00302,0.090252
0.427,0.002971,0.090252
0.428,0.002996,0.09024
0.429,0.002971,0.090252
0.43,0.002995,0.090264
0.431,0.002971,0.090252
0.432,0.002996,0.09024
0.433,0.002971,0.090252
0.434,0.002971,0.090252
0.435,0.002971,0.090252
0.436,0.002971,0.090252
0.437,0.00302,0.090252
0.438,0.002971,0.090252
0.439,0.002995,0.090222
0.44,0.00302,0.090271
0.441,0.002971,0.090252
0.442,0.002971,0.090252
0.443,0.002996,0.09024
0.444,0.002996,0.09024
0.445,0.00302,0.090313
0.446,0.00302,0.090252
0.447,0.00302,0.090252
0.448,0.00302,0.090252
0.449,0.003019,0.090295
0.45,0.002995,0.090264
0.451,0.003019,0.090295
0.452,0.002995,0.090264
0.453,0.00302,0.090252
0.454,0.003043,0.090264
0.455,0.00302,0.090252
0.456,0.002995,0.090264
0.457,0.003043,0.090264
0.458,0.003019,0.090277
0.459,0.003019,0.090277
0.46,0.003019,0.090277
0.461,0.003067,0.090295
0.462,0.003043,0.090264
0.463,0.003043,0.090264
0.464,0.003019,0.090277
0.465,0.003067,0.090276
0.466,0.003067,0.09032
0.467,0.003043,0.090307
0.468,0.003043,0.090307
0.469,0.003067,0.09032
0.47,0.002994,0.090289
0.471,0.003019,0.090277
0.472,0.00309,0.090289
0.473,0.003043,0.090307
0.474,0.003019,0.09032
0.475,0.003019,0.09032
0.476,0.003018,0.090301
0.477,0.002994,0.090314
0.478,0.003041,0.090356
0.479,0.003066,0.090344
0.48,0.003041,0.090356
0.481,0.003041,0.090356
0.482,0.003066,0.090344
0.483,0.003066,0.090344
0.484,0.003017,0.090326
0.485,0.003041,0.090356
0.486,0.003018,0.090387
0.487,0.002994,0.090356
0.488,0.003017,0.090326
0.489,0.002994,0.090332
0.49,0.003018,0.090344
0.491,0.003018,0.090387
0.492,0.003017,0.090369
0.493,0.003041,0.090356
0.494,0.003018,0.090387
0.495,0.003018,0.090387
0.496,0.003017,0.090369
0.497,0.002993,0.090399
0.498,0.002993,0.090399
0.499,0.002993,0.090399
0.5,0.002945,0.090399
0.501,0.002969,0.090412
0.502,0.00297,0.090387
0.503,0.002993,0.090399
0.504,0.002969,0.090412
0.505,0.002993,0.090399
0.506,0.002993,0.090399
0.507,0.002969,0.090412
0.508,0.00297,0.09043
0.509,0.002993,0.090399
0.51,0.003018,0.09043
0.511,0.003018,0.090405
0.512,0.00297,0.090448
0.513,0.003018,0.090448
0.514,0.00297,0.090448
0.515,0.00297,0.090448
0.516,0.00297,0.090387
0.517,0.002946,0.090418
0.518,0.00297,0.090473
0.519,0.002947,0.090479
0.52,0.002947,0.090479
0.521,0.00297,0.090448
0.522,0.00297,0.090448
0.523,0.002995,0.090436
0.524,0.002947,0.090436
0.525,0.002947,0.090436
0.526,0.002947,0.090454
0.527,0.002971,0.090424
0.528,0.002971,0.090424
0.529,0.002971,0.090424
0.53,0.002971,0.090424
0.531,0.002947,0.090393
0.532,0.002971,0.090467
0.533,0.002947,0.090436
0.534,0.002947,0.090454
0.535,0.002995,0.090412
0.536,0.002972,0.090399
0.537,0.002924,0.090442
0.538,0.002948,0.09043
0.539,0.002972,0.090399
0.54,0.002972,0.090399
0.541,0.002972,0.090399
0.542,0.002949,0.090405
0.543,0.002925,0.090418
0.544,0.002925,0.090418
0.545,0.002948,0.090387
0.546,0.002925,0.090375
0.547,0.002973,0.090418
0.548,0.002973,0.090418
0.549,0.002925,0.090436
0.55,0.002901,0.090448
0.551,0.002973,0.090375
0.552,0.002949,0.090405
0.553,0.002949,0.090405
0.554,0.002949,0.090405
0.555,0.002973,0.090393
0.556,0.002949,0.090405
0.557,0.002974,0.090412
0.558,0.002949,0.090424
0.559,0.002974,0.090412
0.56,0.00295,0.090381
0.561,0.00295,0.090442
0.562,0.002926,0.090455
0.563,0.002949,0.090424
0.564,0.002949,0.090424
0.565,0.002925,0.090393
